StationID,ECO_ID,ECO_NAME
USH00340017,"50804",Central forest/grasslands transition zone
USH00340256,"50804",Central forest/grasslands transition zone
USH00340292,"50804",Central forest/grasslands transition zone
USH00340548,"50804",Central forest/grasslands transition zone
USH00341828,"50804",Central forest/grasslands transition zone
USH00342678,"50804",Central forest/grasslands transition zone
USH00343821,"50804",Central forest/grasslands transition zone
USH00344235,"50804",Central forest/grasslands transition zone
USH00345779,"50804",Central forest/grasslands transition zone
USH00345855,"50804",Central forest/grasslands transition zone
USH00346130,"50804",Central forest/grasslands transition zone
USH00346638,"50804",Central forest/grasslands transition zone
USH00346670,"50804",Central forest/grasslands transition zone
USH00346926,"50804",Central forest/grasslands transition zone
USH00346935,"50804",Central forest/grasslands transition zone
USH00349445,"50804",Central forest/grasslands transition zone
USH00410120,"50804",Central forest/grasslands transition zone
USH00411138,"50804",Central forest/grasslands transition zone
USH00411772,"50804",Central forest/grasslands transition zone
USH00412598,"50804",Central forest/grasslands transition zone
USH00413420,"50804",Central forest/grasslands transition zone
USH00419532,"50804",Central forest/grasslands transition zone
USH00476922,"50804",Central forest/grasslands transition zone
USH00423809,"50530",Wasatch and Uinta montane forests
USH00425065,"50530",Wasatch and Uinta montane forests
USH00425402,"50530",Wasatch and Uinta montane forests
USH00425826,"50530",Wasatch and Uinta montane forests
USH00426135,"50530",Wasatch and Uinta montane forests
USH00427559,"50530",Wasatch and Uinta montane forests
USH00427729,"50530",Wasatch and Uinta montane forests
USH00427909,"50530",Wasatch and Uinta montane forests
USH00428119,"50530",Wasatch and Uinta montane forests
USH00042910,"50519",Northern California coastal forests
USH00043161,"50519",Northern California coastal forests
USH00351055,"50519",Northern California coastal forests
USH00196681,"50504",Atlantic coastal pine barrens
USH00140264,"50803",Central and Southern mixed grasslands
USH00142459,"50803",Central and Southern mixed grasslands
USH00143527,"50803",Central and Southern mixed grasslands
USH00144087,"50803",Central and Southern mixed grasslands
USH00144530,"50803",Central and Southern mixed grasslands
USH00145152,"50803",Central and Southern mixed grasslands
USH00145173,"50803",Central and Southern mixed grasslands
USH00145363,"50803",Central and Southern mixed grasslands
USH00145856,"50803",Central and Southern mixed grasslands
USH00145906,"50803",Central and Southern mixed grasslands
USH00147542,"50803",Central and Southern mixed grasslands
USH00148495,"50803",Central and Southern mixed grasslands
USH00250070,"50803",Central and Southern mixed grasslands
USH00250622,"50803",Central and Southern mixed grasslands
USH00250640,"50803",Central and Southern mixed grasslands
USH00251200,"50803",Central and Southern mixed grasslands
USH00252100,"50803",Central and Southern mixed grasslands
USH00252205,"50803",Central and Southern mixed grasslands
USH00252820,"50803",Central and Southern mixed grasslands
USH00252840,"50803",Central and Southern mixed grasslands
USH00253035,"50803",Central and Southern mixed grasslands
USH00253175,"50803",Central and Southern mixed grasslands
USH00253185,"50803",Central and Southern mixed grasslands
USH00253365,"50803",Central and Southern mixed grasslands
USH00253660,"50803",Central and Southern mixed grasslands
USH00253735,"50803",Central and Southern mixed grasslands
USH00253910,"50803",Central and Southern mixed grasslands
USH00254985,"50803",Central and Southern mixed grasslands
USH00255080,"50803",Central and Southern mixed grasslands
USH00255310,"50803",Central and Southern mixed grasslands
USH00255565,"50803",Central and Southern mixed grasslands
USH00256040,"50803",Central and Southern mixed grasslands
USH00257070,"50803",Central and Southern mixed grasslands
USH00257515,"50803",Central and Southern mixed grasslands
USH00257715,"50803",Central and Southern mixed grasslands
USH00259510,"50803",Central and Southern mixed grasslands
USH00340179,"50803",Central and Southern mixed grasslands
USH00341243,"50803",Central and Southern mixed grasslands
USH00341504,"50803",Central and Southern mixed grasslands
USH00341724,"50803",Central and Southern mixed grasslands
USH00342912,"50803",Central and Southern mixed grasslands
USH00342944,"50803",Central and Southern mixed grasslands
USH00343497,"50803",Central and Southern mixed grasslands
USH00344055,"50803",Central and Southern mixed grasslands
USH00344204,"50803",Central and Southern mixed grasslands
USH00344573,"50803",Central and Southern mixed grasslands
USH00344861,"50803",Central and Southern mixed grasslands
USH00345063,"50803",Central and Southern mixed grasslands
USH00345509,"50803",Central and Southern mixed grasslands
USH00346139,"50803",Central and Southern mixed grasslands
USH00346278,"50803",Central and Southern mixed grasslands
USH00346629,"50803",Central and Southern mixed grasslands
USH00347012,"50803",Central and Southern mixed grasslands
USH00348501,"50803",Central and Southern mixed grasslands
USH00349395,"50803",Central and Southern mixed grasslands
USH00349422,"50803",Central and Southern mixed grasslands
USH00410493,"50803",Central and Southern mixed grasslands
USH00413992,"50803",Central and Southern mixed grasslands
USH00417336,"50803",Central and Southern mixed grasslands
USH00418433,"50803",Central and Southern mixed grasslands
USH00018024,"50403",Appalachian/Blue Ridge forests
USH00018469,"50403",Appalachian/Blue Ridge forests
USH00092475,"50403",Appalachian/Blue Ridge forests
USH00097600,"50403",Appalachian/Blue Ridge forests
USH00182282,"50403",Appalachian/Blue Ridge forests
USH00186620,"50403",Appalachian/Blue Ridge forests
USH00280734,"50403",Appalachian/Blue Ridge forests
USH00305426,"50403",Appalachian/Blue Ridge forests
USH00308906,"50403",Appalachian/Blue Ridge forests
USH00313976,"50403",Appalachian/Blue Ridge forests
USH00314055,"50403",Appalachian/Blue Ridge forests
USH00315340,"50403",Appalachian/Blue Ridge forests
USH00315356,"50403",Appalachian/Blue Ridge forests
USH00318694,"50403",Appalachian/Blue Ridge forests
USH00319147,"50403",Appalachian/Blue Ridge forests
USH00360106,"50403",Appalachian/Blue Ridge forests
USH00361354,"50403",Appalachian/Blue Ridge forests
USH00364896,"50403",Appalachian/Blue Ridge forests
USH00366689,"50403",Appalachian/Blue Ridge forests
USH00367322,"50403",Appalachian/Blue Ridge forests
USH00367931,"50403",Appalachian/Blue Ridge forests
USH00368449,"50403",Appalachian/Blue Ridge forests
USH00368596,"50403",Appalachian/Blue Ridge forests
USH00369728,"50403",Appalachian/Blue Ridge forests
USH00402024,"50403",Appalachian/Blue Ridge forests
USH00406534,"50403",Appalachian/Blue Ridge forests
USH00407884,"50403",Appalachian/Blue Ridge forests
USH00440766,"50403",Appalachian/Blue Ridge forests
USH00441209,"50403",Appalachian/Blue Ridge forests
USH00442208,"50403",Appalachian/Blue Ridge forests
USH00444128,"50403",Appalachian/Blue Ridge forests
USH00444876,"50403",Appalachian/Blue Ridge forests
USH00446626,"50403",Appalachian/Blue Ridge forests
USH00448062,"50403",Appalachian/Blue Ridge forests
USH00449263,"50403",Appalachian/Blue Ridge forests
USH00465707,"50403",Appalachian/Blue Ridge forests
USH00466867,"50403",Appalachian/Blue Ridge forests
USH00017157,"50402",Appalachian mixed mesophytic forests
USH00017304,"50402",Appalachian mixed mesophytic forests
USH00150254,"50402",Appalachian mixed mesophytic forests
USH00150381,"50402",Appalachian mixed mesophytic forests
USH00152791,"50402",Appalachian mixed mesophytic forests
USH00158709,"50402",Appalachian mixed mesophytic forests
USH00331152,"50402",Appalachian mixed mesophytic forests
USH00331890,"50402",Appalachian mixed mesophytic forests
USH00335041,"50402",Appalachian mixed mesophytic forests
USH00336600,"50402",Appalachian mixed mesophytic forests
USH00336781,"50402",Appalachian mixed mesophytic forests
USH00338830,"50402",Appalachian mixed mesophytic forests
USH00364385,"50402",Appalachian mixed mesophytic forests
USH00369050,"50402",Appalachian mixed mesophytic forests
USH00402202,"50402",Appalachian mixed mesophytic forests
USH00461220,"50402",Appalachian mixed mesophytic forests
USH00461330,"50402",Appalachian mixed mesophytic forests
USH00463544,"50402",Appalachian mixed mesophytic forests
USH00465224,"50402",Appalachian mixed mesophytic forests
USH00465626,"50402",Appalachian mixed mesophytic forests
USH00466989,"50402",Appalachian mixed mesophytic forests
USH00467029,"50402",Appalachian mixed mesophytic forests
USH00468384,"50402",Appalachian mixed mesophytic forests
USH00469368,"50402",Appalachian mixed mesophytic forests
USH00469610,"50402",Appalachian mixed mesophytic forests
USH00469683,"50402",Appalachian mixed mesophytic forests
USH00370896,"50411",Northeastern coastal forests
USH00307633,"50411",Northeastern coastal forests
USH00300889,"50504",Atlantic coastal pine barrens
USH00041912,"50527",Sierra Nevada forests
USH00044713,"50527",Sierra Nevada forests
USH00047195,"50527",Sierra Nevada forests
USH00048702,"50527",Sierra Nevada forests
USH00048758,"50527",Sierra Nevada forests
USH00049855,"50527",Sierra Nevada forests
USH00021248,"51304",Colorado Plateau shrublands
USH00023596,"51304",Colorado Plateau shrublands
USH00024089,"51304",Colorado Plateau shrublands
USH00024849,"51304",Colorado Plateau shrublands
USH00027435,"51304",Colorado Plateau shrublands
USH00027716,"51304",Colorado Plateau shrublands
USH00051741,"51304",Colorado Plateau shrublands
USH00052184,"51304",Colorado Plateau shrublands
USH00053146,"51304",Colorado Plateau shrublands
USH00053662,"51304",Colorado Plateau shrublands
USH00055322,"51304",Colorado Plateau shrublands
USH00055722,"51304",Colorado Plateau shrublands
USH00057337,"51304",Colorado Plateau shrublands
USH00290692,"51304",Colorado Plateau shrublands
USH00291515,"51304",Colorado Plateau shrublands
USH00294862,"51304",Colorado Plateau shrublands
USH00295150,"51304",Colorado Plateau shrublands
USH00298107,"51304",Colorado Plateau shrublands
USH00420086,"51304",Colorado Plateau shrublands
USH00420738,"51304",Colorado Plateau shrublands
USH00420788,"51304",Colorado Plateau shrublands
USH00422253,"51304",Colorado Plateau shrublands
USH00422592,"51304",Colorado Plateau shrublands
USH00422996,"51304",Colorado Plateau shrublands
USH00423418,"51304",Colorado Plateau shrublands
